ID;name;site;depth;inclination;cooE;cooN;cooU;Slope;Aspect
11;ATT_0108;Les Attelas;26;0;587196;105043;2661;25;270
12;ATT_0208;Les Attelas;21;0;587243;105040;2689;30;270
44;COR_0200;Corvatsch;63.2;0;783175;144692;2672;10;315
8;COR_0287;Corvatsch;62;0;783160;144720;2670;10;315
54;COR_0315;Corvatsch;60;0;;;;10;315
3;DRE_0104;Dreveneuse;15;0;557670;124805;1580;30;90
21;FLU_0102;Fluela;23;0;791373;180575;2394;26;45
19;GEM_0106;Gemsstock;40;90;689780;161783;2905;50;315
15;GEN_0102;Gentiannes;20.4;0;589467;103586;2888;20;90
33;JFJ_0195;Jungfraujoch;21;80;641000;155120;3590;55;5
5;LAP_0198;Lapires;19.6;0;588070;106080;2500;25;45
6;LAP_1108;Lapires;40;0;588099;106092;2500;25;45
4;LAP_1208;Lapires;35;0;588028;106027;2535;25;45
24;MAT_0205;Matterhorn;53;0;618399;92334;3295;0;
22;MB_0196;Muot da Barba Peider;18;0;791314;152493;2946;38;315
23;MB_0296;Muot da Barba Peider;18;0;791339;152513;2942;38;315
31;MUR_0199;Muragl;70.2;0;791025;153726;2536;15;315
29;MUR_0299;Muragl;64;0;790989;1526878;2539;15;315
28;MUR_0499;Muragl;71;0;791017;153688;2549;15;225
27;RIT_0102;Ritigraben;30;0;631755;113775;2690;0;
25;SBE_0190;Schafberg;67;0;790944;152590;2754;0;
26;SBE_0290;Schafberg;60;0;790856;152745;2732;0;
16;SCH_5000;Schilthorn;101;0;630350;156410;2910;30;45
18;SCH_5198;Schilthorn;14;0;630365;156410;2910;30;45
17;SCH_5200;Schilthorn;100;30;630350;156410;2910;30;45
9;STO_6000;Stockhorn;100;0;629878;92876;3410;8;180
10;STO_6100;Stockhorn;31;0;629867;92850;3410;8;180
14;TSA_0104;Tsate;20;0;608490;106400;3040;30;270